incident_id,location,sub_location,datetime_occurred,hour,part_of_day,crime_type,description,is_user_report,Risk_Label
MUM-2024-10651,Marine Drive,Wankhede Vicinity,01-01-2024 11:43,11,Morning,Sexual Harassment,A complaint filed about harassment at Wankhede Vicinity after an incident on public transport.,FALSE,High
MUM-2023-02042,Powai,Hiranandani Gardens,29-11-2023 17:11,17,Evening,Public Disturbance,"Loud rowdy crowd reported outside a bar at Hiranandani Gardens, police were called for crowd control.",FALSE,Medium
MUM-2022-08669,Thane,Majiwada,21-09-2022 08:39,8,Morning,Theft,Shopkeeper noticed items missing from a stall at Majiwada during the morning rush.,FALSE,Low
MUM-2023-01115,Colaba,Gateway Circle,15-11-2023 11:05,11,Morning,Public Disturbance,Motorists reported reckless driving and honking causing public disturbance near Gateway Circle.,FALSE,Low
MUM-2024-13903,Colaba,Colaba Causeway,26-05-2024 00:18,0,Night,Burglary,Unauthorized entry into a second-floor flat at Colaba Causeway while occupants were away.,FALSE,High
MUM-2023-11964,Juhu,Juhu Beachfront,08-03-2023 13:59,13,Afternoon,Theft,Personal belongings taken from a parked two-wheeler outside Juhu Beachfront while owner shopped nearby.,FALSE,Low
MUM-2023-11073,Colaba,Gateway Circle,27-02-2023 14:02,14,Afternoon,Assault,Two individuals fought near Gateway Circle after a verbal dispute escalated late afternoon.,TRUE,High
MUM-2023-03003,Bandra,Hill Road,19-04-2023 06:32,6,Morning,Theft,Personal belongings taken from a parked two-wheeler outside Hill Road while owner shopped nearby.,FALSE,Low
MUM-2023-19772,Worli,Worli Sea Face,26-07-2023 03:33,3,Night,Sexual Harassment,A complaint filed about harassment at Worli Sea Face after an incident on public transport.,FALSE,High
MUM-2022-08116,Chembur,Chembur Causeway,10-05-2022 15:33,15,Afternoon,Theft,A commuter reported a handbag snatched from their bag on a crowded vehicle near Chembur Causeway.,FALSE,Low
MUM-2024-03526,Juhu,Santacruz Link Rd,09-02-2024 12:07,12,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Santacruz Link Rd during the afternoon rush.,FALSE,Low
MUM-2023-07880,Worli,Worli Sea Face,29-10-2023 15:11,15,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Worli Sea Face during the afternoon rush.,FALSE,Low
MUM-2022-16442,Powai,Powai Lake,07-02-2022 08:44,8,Morning,Theft,A commuter reported a wallet snatched from their bag on a crowded vehicle near Powai Lake.,FALSE,Low
MUM-2022-16297,Dharavi,Central Dharavi,26-03-2022 11:24,11,Morning,Theft,A commuter reported a laptop bag snatched from their bag on a crowded vehicle near Central Dharavi.,FALSE,Low
MUM-2022-12567,Andheri West,SV Road,07-04-2022 20:33,20,Evening,Vandalism,Vehicles had tires slashed overnight in the parking lane near SV Road.,FALSE,Medium
MUM-2023-05253,Bandra,Pali Hill,20-03-2023 19:32,19,Evening,Burglary,Unauthorized entry into a second-floor flat at Pali Hill while occupants were away.,FALSE,Medium
MUM-2024-19394,Juhu,Santacruz Link Rd,21-03-2024 00:49,0,Night,Burglary,Residential unit in Santacruz Link Rd reported forced entry; valuables missing from bedroom.,FALSE,High
MUM-2022-16797,Marine Drive,Girgaum Chowpatty,27-04-2022 14:37,14,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Girgaum Chowpatty during the afternoon rush.,FALSE,Low
MUM-2023-08095,Cuffe Parade,Cuffe Parade Market,22-12-2023 12:29,12,Afternoon,Public Disturbance,Neighbors complained of a public brawl and property damage in the Cuffe Parade Market area during afternoon.,FALSE,Low
MUM-2022-00323,Bandra,Pali Hill,13-10-2022 17:50,17,Evening,Burglary,Unauthorized entry into a second-floor flat at Pali Hill while occupants were away.,FALSE,Medium
MUM-2023-09924,Marine Drive,Girgaum Chowpatty,21-10-2023 00:25,0,Night,Burglary,Unauthorized entry into a second-floor flat at Girgaum Chowpatty while occupants were away.,FALSE,High
MUM-2024-07460,Chembur,Deonar,24-10-2024 19:53,19,Evening,Theft,Shopkeeper noticed items missing from a stall at Deonar during the evening rush.,FALSE,Medium
MUM-2023-19025,Thane,Ghodbunder Road,29-11-2023 09:53,9,Morning,Assault,"A passerby was pushed during a scuffle at Ghodbunder Road, witnesses report a group confrontation.",TRUE,High
MUM-2023-17554,Thane,Ghodbunder Road,13-06-2023 21:02,21,Night,Vandalism,Vehicles had tires slashed overnight in the parking lane near Ghodbunder Road.,TRUE,High
MUM-2023-09120,Andheri West,Veera Desai Road,17-12-2023 21:06,21,Night,Drug Offense,Suspected narcotics recovered during a raid in a lane off Veera Desai Road.,TRUE,High
MUM-2024-16422,Cuffe Parade,Badhwar Park,24-01-2024 16:27,16,Afternoon,Theft,Personal belongings taken from a parked two-wheeler outside Badhwar Park while owner shopped nearby.,TRUE,Low
MUM-2024-16061,Juhu,Santacruz Link Rd,08-12-2024 20:48,20,Evening,Assault,Two individuals fought near Santacruz Link Rd after a verbal dispute escalated late evening.,FALSE,High
MUM-2024-10121,Colaba,Gateway Circle,04-04-2024 08:24,8,Morning,Theft,A commuter reported a phone snatched from their bag on a crowded vehicle near Gateway Circle.,FALSE,Low
MUM-2023-19056,Juhu,Santacruz Link Rd,16-12-2023 05:08,5,Night,Arson,"Tires and debris set alight on a quiet lane in Santacruz Link Rd, investigators treating as deliberate.",FALSE,High
MUM-2022-03650,Marine Drive,Girgaum Chowpatty,20-01-2022 18:55,18,Evening,Arson,Small blaze deliberately set to waste pile at Girgaum Chowpatty; quick response contained it.,FALSE,High
MUM-2024-03942,Worli,Worli Sea Face,08-07-2024 03:01,3,Night,Drug Offense,Reports of drug peddling around a market area at Worli Sea Face prompted a follow-up investigation.,FALSE,High
MUM-2023-17881,Marine Drive,Netaji Subhash Marg,16-11-2023 15:24,15,Afternoon,Theft,A commuter reported a parcel snatched from their bag on a crowded vehicle near Netaji Subhash Marg.,FALSE,Low
MUM-2022-16676,Worli,Prabhadevi Junction,16-08-2022 12:52,12,Afternoon,Assault,Two individuals fought near Prabhadevi Junction after a verbal dispute escalated late afternoon.,FALSE,High
MUM-2023-12631,Juhu,JVPD Scheme,17-08-2023 18:27,18,Evening,Public Disturbance,Neighbors complained of a public brawl and property damage in the JVPD Scheme area during evening.,FALSE,Medium
MUM-2023-11444,Chembur,Deonar,16-03-2023 20:02,20,Evening,Assault,Two individuals fought near Deonar after a verbal dispute escalated late evening.,FALSE,High
MUM-2024-12158,Ghatkopar,R City Area,14-05-2024 06:58,6,Morning,Theft,Personal belongings taken from a parked two-wheeler outside R City Area while owner shopped nearby.,FALSE,Low
MUM-2022-13836,Thane,Ghodbunder Road,13-07-2022 10:44,10,Morning,Burglary,Residential unit in Ghodbunder Road reported forced entry; valuables missing from bedroom.,FALSE,Medium
MUM-2024-03435,Worli,Lower Parel Border,06-07-2024 22:54,22,Night,Vandalism,Vehicles had tires slashed overnight in the parking lane near Lower Parel Border.,FALSE,High
MUM-2022-18740,Marine Drive,Netaji Subhash Marg,30-07-2022 18:02,18,Evening,Assault,"An altercation turned physical outside a popular eatery in Netaji Subhash Marg, leaving the victim with minor injuries.",FALSE,High
MUM-2024-17408,Colaba,Gateway Circle,16-02-2024 01:14,1,Night,Public Disturbance,Neighbors complained of a public brawl and property damage in the Gateway Circle area during night.,FALSE,High
MUM-2022-15441,Marine Drive,Girgaum Chowpatty,04-04-2022 00:45,0,Night,Drug Offense,Suspected narcotics recovered during a raid in a lane off Girgaum Chowpatty.,FALSE,High
MUM-2022-10407,Juhu,Juhu Beachfront,30-05-2022 06:26,6,Morning,Theft,Shopkeeper noticed items missing from a stall at Juhu Beachfront during the morning rush.,FALSE,Low
MUM-2024-06518,Colaba,Leopold Cafe Area,12-04-2024 02:25,2,Night,Vandalism,Vehicles had tires slashed overnight in the parking lane near Leopold Cafe Area.,TRUE,High
MUM-2022-00972,Powai,Powai Lake,10-11-2022 02:54,2,Night,Sexual Harassment,Commuter reported inappropriate touching on a crowded bus near Powai Lake in the night.,FALSE,High
MUM-2023-16488,Cuffe Parade,Badhwar Park,30-11-2023 00:24,0,Night,Public Disturbance,Motorists reported reckless driving and honking causing public disturbance near Badhwar Park.,FALSE,High
MUM-2022-19731,Juhu,Juhu Beachfront,05-06-2022 19:47,19,Evening,Public Disturbance,Motorists reported reckless driving and honking causing public disturbance near Juhu Beachfront.,FALSE,Medium
MUM-2024-13138,Dharavi,Central Dharavi,24-02-2024 14:14,14,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Central Dharavi during the afternoon rush.,FALSE,Low
MUM-2022-03670,Worli,Worli Sea Face,07-06-2022 18:58,18,Evening,Assault,"An altercation turned physical outside a popular eatery in Worli Sea Face, leaving the victim with minor injuries.",FALSE,High
MUM-2022-15984,Worli,Prabhadevi Junction,30-07-2022 18:09,18,Evening,Burglary,Residential unit in Prabhadevi Junction reported forced entry; valuables missing from bedroom.,FALSE,Medium
MUM-2024-04059,Juhu,Juhu Beachfront,06-04-2024 01:30,1,Night,Drug Offense,Reports of drug peddling around a market area at Juhu Beachfront prompted a follow-up investigation.,FALSE,High
MUM-2023-14977,Thane,Vartak Nagar,16-04-2023 23:01,23,Night,Public Disturbance,"Loud rowdy crowd reported outside a bar at Vartak Nagar, police were called for crowd control.",FALSE,High
